"country";"election_year";"age";"gender";"men";"education";"unemployed";"blue_collar";"household";"rural";"gov_perform";"diss_dem";"diss_econ";"democrats";"lrself";"trust_pol";"vote_fn"
"102";"France";2002;55;"Male";1;1;1;0;9;1;3;"6";1;2;NA;2;NA
"103";"France";2002;49;"Female";0;5;1;0;9;0;5;"5";4;4;8;5;0
"104";"France";2002;55;"Female";0;1;1;0;4;0;1;"3";1;3;6;3;NA
"105";"France";2002;33;"Male";1;1;1;0;4;1;5;"6";5;1;6;6;NA
"106";"France";2002;44;"Male";1;5;1;0;9;0;6;"6";6;3;4;5;0
"107";"France";2002;31;"Female";0;2;0;0;NA;0;8;"9";7;1;5;6;NA
"108";"France";2002;83;"Female";0;1;0;0;NA;1;6;"6";6;2;8;6;0
"109";"France";2002;21;"Female";0;3;0;0;NA;0;5;"5";5;3;5;5;0
"110";"France";2002;28;"Male";1;5;1;0;5;0;2;"6";3;4;3;4;0
"111";"France";2002;51;"Male";1;5;0;0;8;0;7;"7";6;1;6;4;NA
"112";"France";2002;78;"Female";0;1;0;NA;4;1;8;"8";7;2;7;6;0
"113";"France";2002;45;"Female";0;3;1;0;7;0;9;"3";2;3;4;3;0
"114";"France";2002;50;"Female";0;2;1;0;NA;0;4;"4";5;3;3;4;1
"115";"France";2002;50;"Female";0;5;0;0;10;0;5;"5";4;1;7;8;0
"116";"France";2002;60;"Male";1;3;0;0;8;0;7;"8";7;1;6;4;0
"117";"France";2002;51;"Female";0;5;0;0;7;0;2;"6";3;2;4;6;0
"118";"France";2002;37;"Female";0;3;0;0;5;0;4;"6";8;1;3;9;NA
"119";"France";2002;19;"Female";0;3;0;NA;NA;0;4;"5";4;2;3;5;NA
"120";"France";2002;37;"Female";0;3;0;0;NA;0;5;"2";6;4;9;2;NA
"121";"France";2002;40;"Female";0;1;0;0;4;0;3;"3";5;1;5;2;0
"122";"France";2002;18;"Male";1;2;0;NA;NA;1;6;"9";7;3;NA;6;NA
"123";"France";2002;47;"Female";0;2;1;0;7;0;4;"4";3;1;2;2;0
"124";"France";2002;45;"Female";0;3;1;0;4;0;1;"1";1;1;3;1;0
"125";"France";2002;77;"Female";0;1;0;NA;3;0;7;"4";6;1;8;5;NA
"126";"France";2002;44;"Female";0;2;1;0;4;0;3;"4";4;NA;6;3;NA
"127";"France";2002;51;"Female";0;3;0;0;5;1;4;"1";3;2;6;3;1
"128";"France";2002;36;"Male";1;5;0;0;9;1;3;"6";4;5;8;2;1
"129";"France";2002;65;"Male";1;5;0;0;6;0;8;"8";6;1;6;9;NA
"130";"France";2002;39;"Female";0;5;0;0;9;0;3;"2";4;3;3;3;0
"131";"France";2002;32;"Female";0;2;1;0;5;1;5;"8";5;2;6;8;0
"132";"France";2002;83;"Male";1;2;1;0;6;0;3;"8";3;1;3;1;0
"133";"France";2002;65;"Female";0;1;0;0;7;0;4;"4";4;2;7;5;NA
"134";"France";2002;36;"Female";0;3;0;0;7;1;8;"7";8;2;6;7;NA
"135";"France";2002;62;"Female";0;1;1;0;3;0;6;"5";5;3;11;6;NA
"136";"France";2002;41;"Male";1;3;0;1;7;0;7;"5";6;4;5;6;0
"137";"France";2002;59;"Male";1;3;0;0;7;0;5;"5";5;2;5;7;0
"138";"France";2002;15;"Female";0;2;0;NA;6;1;7;"6";8;1;8;5;NA
"139";"France";2002;38;"Male";1;3;1;0;8;0;2;"2";6;1;5;7;0
"140";"France";2002;28;"Female";0;5;0;0;6;0;3;"4";3;1;6;3;NA
"141";"France";2002;56;"Female";0;2;0;0;7;0;5;"9";6;2;6;6;NA
"142";"France";2002;56;"Male";1;5;1;0;10;0;7;"8";5;1;7;3;0
"143";"France";2002;63;"Male";1;5;0;0;9;0;5;"9";5;2;5;6;0
"144";"France";2002;33;"Male";1;3;1;0;7;0;6;"7";5;1;4;4;NA
"145";"France";2002;45;"Female";0;2;1;1;9;0;7;"5";4;2;5;4;NA
"146";"France";2002;61;"Female";0;5;0;0;NA;1;5;"4";5;4;7;5;0
"147";"France";2002;61;"Male";1;5;0;0;9;0;6;"6";4;2;5;8;NA
"148";"France";2002;32;"Female";0;5;1;0;10;1;1;"1";1;2;1;1;0
"149";"France";2002;68;"Female";0;3;0;0;8;0;6;"7";5;2;9;4;0
"150";"France";2002;64;"Female";0;1;0;0;5;1;9;"9";7;4;8;8;0
"151";"France";2002;34;"Male";1;5;0;0;7;1;5;"5";3;2;5;4;0
"152";"France";2002;20;"Female";0;2;1;0;5;1;9;"7";6;2;7;6;NA
"153";"France";2002;41;"Female";0;3;0;0;7;1;4;"6";5;5;9;5;0
"154";"France";2002;37;"Female";0;5;0;0;8;0;4;"5";6;2;4;5;0
"155";"France";2002;47;"Male";1;3;0;1;7;1;7;"7";7;1;6;7;0
"156";"France";2002;17;"Male";1;2;0;0;8;1;7;"7";6;3;8;5;NA
"157";"France";2002;46;"Male";1;3;1;0;9;1;2;"4";3;1;2;7;0
"158";"France";2002;28;"Female";0;5;0;0;7;0;5;"6";6;2;7;4;0
"159";"France";2002;35;"Male";1;5;1;0;7;1;6;"9";6;2;7;6;NA
"160";"France";2002;44;"Female";0;3;1;0;3;1;5;"7";4;1;4;3;0
"161";"France";2002;35;"Male";1;2;1;0;6;0;2;"3";2;5;9;3;1
"162";"France";2002;20;"Male";1;3;0;0;9;0;3;"3";3;3;4;3;NA
"163";"France";2002;71;"Female";0;1;0;0;4;1;7;"8";7;2;6;6;NA
"164";"France";2002;60;"Male";1;3;0;0;7;0;3;"9";4;1;3;3;0
"165";"France";2002;29;"Female";0;3;0;0;NA;0;8;"6";3;NA;3;1;NA
"166";"France";2002;38;"Male";1;3;0;0;7;1;1;"1";1;2;6;1;0
"167";"France";2002;26;"Male";1;3;0;0;7;1;5;"2";8;2;6;1;0
"168";"France";2002;56;"Female";0;3;0;0;2;1;7;"5";6;2;6;3;NA
"169";"France";2002;57;"Female";0;1;0;0;NA;0;5;"7";6;2;4;4;0
"170";"France";2002;65;"Female";0;3;0;0;3;1;6;"6";5;1;6;5;0
"171";"France";2002;37;"Male";1;3;0;1;2;1;4;"4";3;1;6;3;NA
"172";"France";2002;24;"Female";0;5;0;0;7;0;6;"6";5;1;NA;8;0
"173";"France";2002;25;"Female";0;5;1;0;7;1;4;"5";4;3;6;6;NA
"174";"France";2002;54;"Male";1;1;0;0;8;1;6;"8";5;2;7;7;0
"175";"France";2002;53;"Female";0;3;1;0;7;0;6;"6";4;2;8;6;0
"176";"France";2002;50;"Male";1;3;0;0;12;0;1;"1";2;4;5;1;0
"177";"France";2002;70;"Female";0;2;0;0;9;0;9;"10";9;2;9;8;0
"178";"France";2002;60;"Female";0;3;0;0;4;1;7;"7";7;3;7;6;0
"179";"France";2002;60;"Female";0;2;0;0;4;1;2;"3";3;1;4;1;0
"180";"France";2002;43;"Male";1;2;1;0;4;0;3;"5";4;1;5;2;NA
"181";"France";2002;66;"Male";1;3;0;0;NA;0;4;"6";4;1;7;6;1
"182";"France";2002;35;"Male";1;3;1;0;5;0;6;"8";6;1;6;6;NA
"183";"France";2002;35;"Female";0;3;1;0;5;0;4;"5";5;1;5;4;0
"184";"France";2002;81;"Female";0;5;0;0;9;0;8;"8";3;5;7;5;0
"185";"France";2002;32;"Female";0;3;1;0;6;0;6;"6";5;NA;NA;4;NA
"186";"France";2002;60;"Female";0;1;1;0;6;1;4;"5";3;3;9;6;0
"187";"France";2002;65;"Male";1;1;0;1;NA;0;4;"8";5;3;NA;4;NA
"188";"France";2002;22;"Female";0;5;0;0;2;0;8;"7";6;3;6;6;NA
"189";"France";2002;44;"Male";1;3;0;1;NA;0;5;"4";7;1;5;8;0
"190";"France";2002;48;"Female";0;2;0;1;5;1;7;"6";7;2;6;6;0
"191";"France";2002;72;"Female";0;3;0;0;7;0;7;"9";5;2;3;7;0
"192";"France";2002;53;"Male";1;3;1;0;6;0;8;"8";6;1;5;6;NA
"193";"France";2002;47;"Female";0;2;1;0;NA;0;6;"7";7;2;5;3;0
"194";"France";2002;54;"Female";0;2;0;0;10;1;4;"8";6;1;3;3;0
"195";"France";2002;35;"Female";0;3;0;0;6;1;1;"5";3;1;4;1;0
"196";"France";2002;57;"Male";1;3;0;1;5;0;8;"6";4;3;10;6;1
"197";"France";2002;39;"Female";0;3;0;0;8;1;4;"4";4;1;NA;1;0
"198";"France";2002;67;"Male";1;2;0;NA;5;0;5;"5";3;1;7;5;NA
"199";"France";2002;59;"Female";0;5;0;0;NA;0;4;"7";4;1;2;5;0
"200";"France";2002;65;"Male";1;1;0;0;2;1;7;"7";6;1;6;6;0
"201";"France";2002;49;"Male";1;5;0;0;8;1;4;"4";2;2;10;4;0
"202";"France";2002;37;"Female";0;5;0;0;9;1;5;"5";5;2;8;6;0
"203";"France";2002;54;"Male";1;2;0;0;9;1;8;"9";10;1;8;9;0
"204";"France";2002;51;"Female";0;5;0;0;8;0;2;"4";3;2;4;6;0
"205";"France";2002;42;"Male";1;5;0;0;11;1;4;"8";4;5;4;4;0
"206";"France";2002;33;"Female";0;3;1;0;7;0;1;"1";1;2;1;1;0
"207";"France";2002;68;"Female";0;5;0;0;10;0;5;"7";7;3;8;5;0
"208";"France";2002;31;"Female";0;5;1;0;6;0;4;"9";2;2;4;7;NA
"209";"France";2002;17;"Male";1;1;0;NA;NA;0;7;"7";NA;2;NA;8;NA
"210";"France";2002;51;"Female";0;1;1;0;5;0;2;"1";1;3;6;1;1
"211";"France";2002;65;"Female";0;2;0;0;NA;1;9;"8";6;2;NA;8;NA
"212";"France";2002;40;"Female";0;1;1;NA;5;0;11;"11";1;1;7;1;NA
"213";"France";2002;44;"Female";0;3;1;0;NA;0;7;"6";6;3;6;4;NA
"214";"France";2002;78;"Female";0;2;0;0;NA;0;6;"6";6;1;4;2;NA
"215";"France";2002;72;"Female";0;3;0;0;8;1;9;"9";6;1;7;8;0
"216";"France";2002;53;"Female";0;1;0;0;6;1;8;"8";7;3;6;3;NA
"217";"France";2002;59;"Male";1;3;1;0;5;0;8;"6";5;NA;6;9;0
"218";"France";2002;44;"Female";0;3;0;0;NA;1;5;"5";5;3;7;6;NA
"219";"France";2002;80;"Female";0;3;0;NA;NA;0;9;"8";7;2;9;6;NA
"220";"France";2002;35;"Female";0;5;0;0;8;0;8;"7";6;1;8;5;0
"221";"France";2002;62;"Female";0;5;0;0;11;0;6;"4";3;3;6;6;NA
"222";"France";2002;43;"Female";0;2;0;0;7;0;1;"1";1;2;5;3;NA
"223";"France";2002;55;"Male";1;3;0;0;7;0;6;"3";1;5;6;6;0
"224";"France";2002;28;"Male";1;5;1;0;8;0;8;"8";8;1;8;6;0
"225";"France";2002;72;"Male";1;3;0;0;7;0;6;"6";6;1;11;6;1
"226";"France";2002;22;"Female";0;3;0;0;10;0;6;"6";1;3;3;4;NA
"227";"France";2002;44;"Male";1;3;0;1;5;0;6;"4";2;3;5;2;0
"228";"France";2002;48;"Female";0;2;1;0;6;1;6;"3";6;2;6;4;0
"229";"France";2002;63;"Male";1;5;0;0;NA;0;NA;"8";6;3;NA;4;NA
"230";"France";2002;59;"Male";1;5;0;0;9;0;6;"7";6;1;8;3;NA
"231";"France";2002;56;"Female";0;3;1;0;9;1;5;"8";5;2;7;7;0
"232";"France";2002;38;"Female";0;5;1;0;2;0;4;"8";3;5;7;3;NA
"233";"France";2002;45;"Male";1;5;1;0;7;0;1;"4";3;1;6;1;NA
"234";"France";2002;39;"Male";1;5;0;0;9;0;5;"6";5;4;4;4;0
"235";"France";2002;49;"Male";1;3;0;0;9;0;8;"8";7;2;9;5;NA
"236";"France";2002;58;"Female";0;1;0;0;NA;0;4;"5";6;3;8;2;0
"237";"France";2002;68;"Female";0;1;0;0;5;1;7;"5";6;2;6;6;0
"238";"France";2002;42;"Female";0;3;0;0;9;0;3;"10";5;1;3;6;0
"239";"France";2002;33;"Female";0;3;0;0;7;0;7;"8";7;3;6;8;0
"240";"France";2002;36;"Male";1;3;1;0;NA;1;6;"6";6;1;6;5;NA
"241";"France";2002;71;"Male";1;1;1;0;NA;0;4;"6";4;5;10;3;1
"242";"France";2002;48;"Male";1;2;0;1;5;1;3;"3";4;2;4;3;0
"243";"France";2002;15;"Female";0;2;0;NA;NA;1;9;"11";9;4;NA;8;NA
"244";"France";2002;44;"Male";1;3;0;0;8;1;4;"8";6;1;8;6;0
"245";"France";2002;54;"Female";0;1;0;0;5;1;8;"8";7;4;8;6;0
"246";"France";2002;67;"Male";1;3;0;NA;6;0;6;"6";6;1;5;6;0
"247";"France";2002;24;"Female";0;5;0;0;6;0;7;"8";7;1;5;1;0
"248";"France";2002;81;"Male";1;2;0;1;4;0;6;"6";4;3;9;1;0
"249";"France";2002;61;"Female";0;3;1;0;NA;0;7;"5";6;1;6;3;NA
"250";"France";2002;47;"Male";1;5;1;0;6;1;4;"6";4;4;2;6;0
"251";"France";2002;20;"Male";1;5;0;NA;NA;0;8;"11";6;4;4;9;NA
"252";"France";2002;53;"Female";0;5;0;0;7;0;6;"6";6;5;5;6;0
"253";"France";2002;64;"Male";1;2;0;0;NA;0;6;"7";3;1;11;8;0
"254";"France";2002;78;"Male";1;1;0;0;5;0;4;"4";4;4;8;6;0
"255";"France";2002;39;"Female";0;5;0;0;8;0;6;"6";3;5;6;3;0
"256";"France";2002;50;"Female";0;3;0;0;6;0;5;"3";3;1;3;2;NA
"257";"France";2002;31;"Female";0;5;0;0;9;0;5;"8";5;1;7;5;NA
"258";"France";2002;29;"Male";1;3;0;1;7;0;3;"5";3;5;9;3;1
"259";"France";2002;75;"Female";0;1;0;0;NA;0;NA;"8";NA;5;8;1;NA
"260";"France";2002;21;"Male";1;5;0;1;9;0;3;"2";2;2;2;2;0
"261";"France";2002;34;"Male";1;3;0;0;6;1;6;"11";9;1;7;5;0
"262";"France";2002;46;"Male";1;1;1;1;8;1;4;"3";8;2;6;2;1
"263";"France";2002;61;"Female";0;3;0;0;NA;0;5;"5";5;4;6;NA;0
"264";"France";2002;38;"Male";1;3;1;1;NA;0;5;"4";5;2;5;3;NA
"265";"France";2002;74;"Female";0;1;0;0;1;0;6;"6";5;2;6;7;0
"266";"France";2002;55;"Female";0;2;0;NA;4;0;8;"9";4;4;8;9;NA
"267";"France";2002;26;"Female";0;5;0;0;8;1;4;"8";3;3;6;6;0
"268";"France";2002;26;"Female";0;5;0;0;9;0;7;"8";4;5;6;7;0
"269";"France";2002;71;"Male";1;3;0;0;7;0;2;"1";2;4;6;1;0
"270";"France";2002;41;"Male";1;5;1;0;9;1;3;"9";3;5;5;1;0
"271";"France";2002;78;"Female";0;1;0;0;NA;0;7;"8";7;2;9;6;NA
"272";"France";2002;46;"Female";0;3;1;0;NA;0;3;"4";6;3;NA;4;NA
"273";"France";2002;29;"Female";0;5;1;0;9;0;3;"4";2;1;3;4;0
"274";"France";2002;16;"Female";0;2;0;NA;5;0;7;"7";5;1;6;6;NA
"275";"France";2002;57;"Male";1;1;0;0;11;0;9;"7";5;1;1;4;0
"276";"France";2002;76;"Female";0;5;0;0;7;0;4;"4";3;1;6;5;0
"277";"France";2002;30;"Female";0;5;1;0;6;0;4;"7";3;1;5;3;0
"278";"France";2002;43;"Female";0;2;0;0;4;0;6;"6";6;4;9;6;0
"279";"France";2002;55;"Female";0;5;0;0;5;0;2;"3";2;1;2;5;0
"280";"France";2002;43;"Female";0;2;1;0;6;0;6;"6";6;3;9;6;NA
"281";"France";2002;26;"Male";1;5;0;0;7;0;7;"7";9;1;6;3;NA
"282";"France";2002;55;"Female";0;2;0;0;5;1;6;"4";5;2;6;2;1
"283";"France";2002;68;"Female";0;1;0;0;5;0;6;"6";6;1;9;6;0
"284";"France";2002;66;"Female";0;1;0;NA;5;1;1;"1";1;1;1;2;0
"285";"France";2002;35;"Female";0;5;0;0;9;1;5;"7";6;5;4;7;NA
"286";"France";2002;62;"Male";1;3;1;0;6;0;8;"8";8;1;8;6;0
"287";"France";2002;34;"Female";0;3;1;0;6;0;3;"5";2;1;3;1;NA
"288";"France";2002;64;"Female";0;5;0;0;6;0;5;"5";3;4;6;3;0
"289";"France";2002;56;"Female";0;1;1;0;5;1;2;"1";2;1;2;3;0
"290";"France";2002;83;"Male";1;5;0;0;NA;0;7;"5";5;4;6;6;0
"291";"France";2002;56;"Female";0;3;1;0;7;1;7;"5";6;2;6;6;0
"292";"France";2002;26;"Female";0;5;1;1;4;1;3;"5";4;2;6;3;NA
"293";"France";2002;64;"Female";0;1;0;0;6;0;4;"5";3;4;11;6;0
"294";"France";2002;32;"Female";0;5;1;0;5;0;5;"8";3;4;5;3;0
"295";"France";2002;36;"Female";0;5;1;0;6;0;7;"6";6;2;4;4;0
"296";"France";2002;55;"Male";1;3;0;1;6;0;6;"7";5;4;6;3;0
"297";"France";2002;78;"Male";1;1;0;NA;3;1;6;"6";6;2;9;2;1
"298";"France";2002;44;"Male";1;2;1;0;7;0;5;"3";4;3;9;1;0
"299";"France";2002;57;"Female";0;1;1;0;12;1;3;"4";2;4;6;3;NA
"300";"France";2002;32;"Male";1;5;1;0;4;0;7;"7";5;2;4;5;0
"301";"France";2002;49;"Male";1;3;1;0;11;1;5;"7";7;5;9;9;0
"302";"France";2002;24;"Female";0;5;0;0;7;0;7;"6";4;1;9;6;0
"303";"France";2002;76;"Female";0;3;0;0;6;0;6;"8";4;4;9;6;0
"304";"France";2002;59;"Male";1;3;0;0;9;0;2;"2";2;1;7;2;0
"305";"France";2002;66;"Male";1;1;0;1;NA;0;8;"7";7;1;8;7;0
"306";"France";2002;30;"Female";0;5;1;0;6;1;4;"3";3;1;4;4;0
"307";"France";2002;52;"Female";0;3;0;0;9;0;5;"7";7;3;4;5;0
"308";"France";2002;32;"Male";1;5;1;0;5;0;3;"6";1;2;2;5;0
"309";"France";2002;79;"Female";0;1;0;0;4;0;7;"11";6;2;6;6;0
"310";"France";2002;29;"Female";0;5;1;0;5;0;6;"4";4;4;6;4;NA
"311";"France";2002;29;"Female";0;5;0;0;7;0;8;"9";8;4;4;5;0
"312";"France";2002;73;"Female";0;1;0;NA;NA;1;7;"7";7;3;6;6;0
"313";"France";2002;71;"Female";0;1;0;0;6;0;8;"6";6;1;9;7;0
"314";"France";2002;36;"Male";1;3;0;1;5;1;5;"4";3;1;3;3;0
"315";"France";2002;55;"Male";1;5;0;0;9;0;6;"8";6;2;7;7;0
"316";"France";2002;58;"Female";0;5;0;0;10;0;5;"6";4;1;8;6;0
"317";"France";2002;81;"Female";0;1;0;0;NA;0;9;"1";1;1;2;1;NA
"318";"France";2002;40;"Female";0;5;0;0;NA;0;7;"8";7;5;8;7;0
"319";"France";2002;66;"Male";1;3;0;0;7;0;6;"7";6;5;10;3;0
"320";"France";2002;39;"Female";0;5;1;0;10;0;7;"8";6;1;7;5;0
"321";"France";2002;36;"Female";0;3;0;0;7;0;8;"9";5;2;7;9;0
"322";"France";2002;59;"Female";0;1;0;0;NA;0;6;"6";5;2;NA;3;NA
"323";"France";2002;26;"Female";0;3;0;0;5;0;5;"7";4;1;6;5;NA
